"year" "PC1_score" "spline_15" "klp_sd" "ulp_sd" "total_sd"
1181 -1.79486315438176 -1.86525884349951 41 28 69
1182 -2.21554283717542 -2.00217550751792 41 28 69
1183 -2.50426882005105 -2.05559478667902 41 28 69
1184 -3.13660715310985 -2.00513933780361 41 28 69
1185 -2.22427842418626 -1.84654007819609 41 27 68
1186 -1.99910891226686 -1.60298934262026 41 28 69
1187 -0.553785051813388 -1.31326956571617 41 28 69
1188 -0.0750164021144719 -1.0223341421852 41 30 71
1189 -1.3511086457745 -0.756721379853575 41 30 71
1190 -1.15428208995559 -0.522680572839054 44 30 74
1191 0.714203198728549 -0.337039836594927 44 30 74
1192 0.43475772699687 -0.227245704530681 44 30 74
1193 0.565086683379551 -0.199013915716246 44 29 73
1194 -0.70903898555393 -0.235159681525557 44 29 73
1195 0.201894127021053 -0.301851244802161 44 29 73
1196 -1.34430988006755 -0.368477294697957 44 30 74
1197 -1.07819190160688 -0.401526243502235 44 30 74
1198 -1.24887120323858 -0.3884008697216 44 30 74
1199 -0.570500770404367 -0.339812932082269 44 30 74
1200 0.470907475158237 -0.288789178823272 45 30 75
1201 0.500537062780715 -0.27360784522992 45 29 74
1202 0.262641898060411 -0.314167443856446 45 29 74
1203 -0.0270995495248128 -0.407621277317322 45 29 74
1204 -0.194462418884842 -0.533360362550898 45 29 74
1205 -0.965391035582849 -0.658267918214882 45 29 74
1206 -2.07298852199097 -0.741895320309607 45 29 74
1207 -0.643350038707549 -0.755187816466037 45 29 74
1208 0.218308925376984 -0.697410834404323 45 29 74
1209 -1.84238497862108 -0.567665731294465 45 30 75
1210 -1.17594270353143 -0.35222691388393 46 31 77
1211 -0.195274790652517 -0.0630579786901724 45 31 76
1212 0.403861232411067 0.263753556130845 45 31 76
1213 0.366402537660723 0.58589922183654 45 31 76
1214 1.95282930928257 0.862141432842202 45 31 76
1215 2.24419178122531 1.05305278979962 45 29 74
1216 1.08243103900937 1.14657552195822 45 29 74
1217 1.66013929486169 1.16036474520257 45 29 74
1218 0.483535300666017 1.1194348432716 45 29 74
1219 0.38365202285132 1.0554653677737 45 29 74
1220 1.21188326893173 0.986202520481785 46 29 75
1221 0.251258664448965 0.913500038914833 44 29 73
1222 0.967403588979894 0.836998590176417 44 29 73
1223 1.01800527994848 0.744574567978784 44 29 73
1224 0.686811352645008 0.624785782187207 44 29 73
1225 1.69781224008745 0.472789019529307 44 29 73
1226 0.204647039270451 0.292702271433284 43 30 73
1227 -0.990646686598409 0.113651300553732 43 30 73
1228 0.121204594056509 -0.0364258851318389 43 30 73
1229 -0.674460783768766 -0.151897964886933 44 30 74
1230 0.793035141793169 -0.232245618759565 44 30 74
1231 -1.79437401791612 -0.281604893585754 44 30 74
1232 -0.357737395161673 -0.293512705893217 44 30 74
1233 0.258757097919131 -0.28762177346065 44 30 74
1234 0.575868076520904 -0.289861247162161 44 30 74
1235 -0.52256904110338 -0.310834519376698 44 30 74
1236 -0.809636807843174 -0.341660509565231 44 30 74
1237 -0.0269756879868631 -0.375762809235045 44 30 74
1238 0.220760917391337 -0.415466165830285 44 30 74
1239 -0.546474834573815 -0.455073861026366 44 30 74
1240 -2.07927583616528 -0.474511205572032 44 30 74
1241 -1.36800514224041 -0.460548703321794 44 30 74
1242 0.593523747595339 -0.438016591104853 44 30 74
1243 0.811492027101784 -0.453310052548803 44 30 74
1244 0.33036177432598 -0.529820360137035 44 30 74
1245 -0.0522053047576012 -0.655275053818891 44 30 74
1246 -1.38446457073032 -0.790164385578255 44 30 74
1247 -1.04801738985129 -0.88123753897136 44 30 74
1248 -4.55584439489093 -0.88520209409592 44 30 74
1249 0.821472206008956 -0.784070980985758 44 30 74
1250 -0.441698730263908 -0.627808252240261 44 30 74
1251 -0.533963432248321 -0.451305560908292 44 30 74
1252 -1.18761198066659 -0.277821410773501 44 30 74
1253 0.934780804387781 -0.136023756716165 44 31 75
1254 1.58564296795617 -0.0681823450558516 44 31 75
1255 -0.612810252024268 -0.0907731671029615 44 31 75
1256 -0.741375726622323 -0.18351491667303 44 31 75
1257 0.769223456438031 -0.331216969683593 44 31 75
1258 1.1150910153798 -0.527170094627914 43 31 74
1259 -1.96238335788022 -0.736516741417184 43 31 74
1260 -2.63690731102098 -0.891338539089408 43 31 74
1261 -1.22486014411935 -0.949405799062068 43 31 74
1262 -0.815872053527847 -0.91201634144051 43 31 74
1263 -1.9164676812871 -0.794584017250609 43 31 74
1264 -0.62951109390392 -0.617718935893244 43 31 74
1265 -0.40703013954128 -0.424622990318722 43 31 74
1266 0.514496149944462 -0.26440596450824 43 31 74
1267 0.729305331317671 -0.181880705514107 43 31 74
1268 1.13888782402361 -0.201109177827398 43 31 74
1269 1.13653365930238 -0.316581330631641 43 31 74
1270 -3.2402774037727 -0.483155445585097 43 31 74
1271 0.40139808286322 -0.633138284750342 44 31 75
1272 -1.80766060023097 -0.742657807205687 44 31 75
1273 -1.12375458947531 -0.786220537613838 44 31 75
1274 -1.78522480666578 -0.756614033592087 44 31 75
1275 -0.0324097194373554 -0.664294992980415 44 31 75
1276 -1.06795543259864 -0.539320184287098 44 31 75
1277 0.149942578507342 -0.406768000463002 44 31 75
1278 0.253732971530308 -0.296467660043306 44 31 75
1279 0.818283354453066 -0.226712284713433 46 31 77
1280 -1.16398107318638 -0.196285140733333 47 31 78
1281 0.491823790836868 -0.184664980597392 46 31 77
1282 -1.22794744920428 -0.182358149845054 46 31 77
1283 0.790782523542904 -0.176317053810514 46 31 77
1284 -0.492488637463085 -0.166519975353787 46 31 77
1285 -1.17845161188276 -0.140134445938138 46 31 77
1286 -0.351777035467225 -0.0913832998661477 46 31 77
1287 0.584302743296695 -0.0388074001405612 46 31 77
1288 1.51533979978263 -0.00842204504674848 46 31 77
1289 -0.177118825578949 -0.00697228542674935 46 31 77
1290 -1.26641788948639 -0.00760673456488536 46 31 77
1291 0.00821551180188855 0.0143934579507078 46 31 77
1292 -0.0958348904999753 0.0570077011179703 46 31 77
1293 0.805038811763866 0.110845720987602 46 31 77
1294 -0.729672976886673 0.16691049150043 46 31 77
1295 0.267684620338392 0.225067629370306 46 31 77
1296 1.10647185155124 0.27056245693544 45 31 76
1297 0.986593614652215 0.289203625395711 45 32 77
1298 0.199525085588501 0.287752088839365 45 32 77
1299 0.370809946868126 0.291117631892652 45 32 77
1300 -2.0266778170475 0.326386386339261 46 32 78
1301 0.80021405913913 0.409754279863058 46 32 78
1302 1.57313156563067 0.511537221981392 46 32 78
1303 0.845381718657222 0.603438328784226 46 32 78
1304 -0.00832314809199208 0.68219269115987 46 32 78
1305 -0.211617795960143 0.751404762293519 46 32 78
1306 2.44023943787703 0.796807739401225 46 32 78
1307 -0.518364724837896 0.789259778854307 46 32 78
1308 1.23874506759348 0.721697214642396 46 32 78
1309 2.03855412616943 0.571304775591552 46 32 78
1310 1.76627269507239 0.326697637120551 46 34 80
1311 -1.15951302846417 0.0166425511958896 46 33 79
1312 -1.08630705225846 -0.299055589257618 45 33 78
1313 -1.45245933298611 -0.581383365458585 45 33 78
1314 -0.814570545294533 -0.817988136345887 45 33 78
1315 0.593832106186048 -1.01841615863359 45 33 78
1316 -2.02990757955954 -1.18834075351225 45 33 78
1317 -0.790225093339776 -1.30464720796027 45 33 78
1318 -1.25791886801796 -1.35058091445829 45 33 78
1319 -3.27796150653195 -1.30267217761359 45 33 78
1320 -2.2170995068403 -1.14304498164298 45 33 78
1321 -0.450310455736796 -0.899397765405285 45 33 78
1322 -0.38494102501462 -0.629302554489314 45 33 78
1323 0.400262475793507 -0.385371668980573 45 33 78
1324 0.951082898739258 -0.208867272419497 45 33 78
1325 0.0767626365464593 -0.117722626681538 45 33 78
1326 0.0616753806686636 -0.101036391047057 45 33 78
1327 -0.534602464496731 -0.137129482124784 45 33 78
1328 0.74879999640287 -0.202024946327112 45 33 78
1329 -1.06015235971559 -0.274189906333255 45 33 78
1330 -1.64993979776475 -0.31864952377808 45 33 78
1331 1.59467947520205 -0.318511464130083 44 33 77
1332 -2.1354700213923 -0.27842208318341 44 33 77
1333 -0.646509136840786 -0.180121728410499 44 33 77
1334 1.47708732915377 -0.0360399651914223 44 33 77
1335 0.25815897662687 0.130057323788575 44 33 77
1336 -1.2631349298152 0.323722708560817 44 33 77
1337 0.483433754195057 0.552759512837756 44 33 77
1338 1.90872546378588 0.792705324348063 44 33 77
1339 1.89537937462572 1.0152591824757 44 33 77
1340 -0.252758197909847 1.21918437691506 44 33 77
1341 0.118978010051065 1.41948086628518 44 33 77
1342 2.72975175827551 1.59878283161222 44 33 77
1343 2.43108650744886 1.7112845883835 44 33 77
1344 2.04492439092555 1.73141203466531 43 33 76
1345 3.51474100860822 1.65577498765939 43 33 76
1346 0.915549867759311 1.50064862701376 43 33 76
1347 -0.35399133326967 1.31906650196208 43 33 76
1348 1.87667848541904 1.15300795258031 43 33 76
1349 0.774323095052991 1.01082689971192 43 33 76
1350 0.502676977026526 0.905931705795914 43 33 76
1351 0.35014620211273 0.848520917080768 43 33 76
1352 1.47384268993041 0.836746522506711 43 33 76
1353 0.452180551706732 0.859732086835698 43 33 76
1354 1.50506985817391 0.915028276110025 43 33 76
1355 0.28861581272835 0.998117699054025 43 33 76
1356 1.33580476877998 1.11086110964278 43 33 76
1357 1.03636433796397 1.24473956904111 42 33 75
1358 0.0816059850603538 1.39114125847376 42 33 75
1359 2.40213055334478 1.53161303843866 42 33 75
1360 2.30988816642735 1.62422330266165 42 33 75
1361 3.05136797337781 1.64170525320852 41 33 74
1362 0.570524434007876 1.58256320347345 41 33 74
1363 -0.761994841243739 1.47255761870398 41 33 74
1364 3.71239853208396 1.31244641812765 41 33 74
1365 2.91343903705401 1.06424857178263 41 33 74
1366 1.30061356899122 0.737260394840322 41 33 74
1367 -2.8458576791707 0.393933481227259 40 33 73
1368 -0.346121315185655 0.101146327880451 40 33 73
1369 0.815906874664851 -0.140117647934057 40 33 73
1370 0.184133190297827 -0.349771881654685 40 33 73
1371 -2.18320609610703 -0.527664664964382 40 33 73
1372 0.915884260594843 -0.666275951643774 40 33 73
1373 0.0203244474213765 -0.781205528729146 40 33 73
1374 -2.17904269079769 -0.859964036021909 40 33 73
1375 -1.24763404969791 -0.872262385955107 40 33 73
1376 -1.93919210888434 -0.812696600949534 40 33 73
1377 -0.275546980199728 -0.696114224483308 40 33 73
1378 -0.43053718548354 -0.560250136947111 40 33 73
1379 -0.944726162157948 -0.439322135179133 40 33 73
1380 1.29147179609655 -0.365321178178797 40 33 73
1381 0.778128663790302 -0.371444524778517 40 33 73
1382 0.26397687889421 -0.45358174503494 40 33 73
1383 -2.16577955221933 -0.571847268855643 39 33 72
1384 0.435900772422246 -0.673908880648304 39 33 72
1385 -3.06283280903454 -0.730771027191802 39 33 72
1386 -0.245082705742585 -0.710804807760941 39 33 72
1387 -1.84423513016534 -0.622158838589438 39 33 72
1388 0.580881045376232 -0.481659174590827 39 33 72
1389 0.16472519497226 -0.323371528631312 39 33 72
1390 -0.965657354547906 -0.163320842692535 39 34 73
1391 0.820126067641662 -0.00617973173407349 39 35 74
1392 -1.48220421512137 0.133656641175841 39 35 74
1393 0.0635292513907548 0.246344251928128 39 35 74
1394 2.16218586331613 0.292178149863709 39 36 75
1395 1.50916147043494 0.229005419280941 39 36 75
1396 1.21892344802841 0.0586817969318747 39 34 73
1397 -1.12285926712584 -0.175116599305791 39 34 73
1398 -0.140995111662404 -0.403196307333011 39 34 73
1399 -2.99148442272876 -0.568516272456804 39 34 73
1400 -0.816522243309752 -0.62594864100673 39 34 73
1401 -0.855312199716063 -0.579724969605111 39 34 73
1402 0.519306025857871 -0.451833691605494 39 34 73
1403 -1.49861157512164 -0.26591423880257 39 34 73
1404 0.161054645306395 -0.0334138900659491 39 34 73
1405 0.336724600726433 0.214901740472067 39 34 73
1406 0.458753909404768 0.44655848550525 39 34 73
1407 1.63920810247173 0.632642713794822 39 34 73
1408 0.896950525023588 0.750280600180723 39 34 73
1409 -0.279262159999574 0.798071306499473 39 34 73
1410 1.37522631907903 0.777261026277786 39 34 73
1411 1.54211492868475 0.670806250128063 39 34 73
1412 1.0202169872426 0.472878525533682 39 34 73
1413 0.227635195324419 0.201407698022554 39 34 73
1414 0.516215001595109 -0.109838217367535 39 34 73
1415 -0.408978118378667 -0.420532514364754 39 34 73
1416 -1.85171124856851 -0.677306057666488 39 34 73
1417 -0.989134647067513 -0.82936605563488 39 34 73
1418 -2.75407354662676 -0.850782654713505 39 34 73
1419 -1.05488051025087 -0.734695951995474 39 33 72
1420 -0.370489082207403 -0.515770087701496 39 33 72
1421 0.563123827830837 -0.244260365799497 39 34 73
1422 0.897709699632116 0.0350592489066478 40 34 74
1423 -1.04217345333912 0.299156330714811 40 34 74
1424 1.92224117328747 0.539963190326057 40 34 74
1425 2.72315980468831 0.733402084140729 40 34 74
1426 -0.365965249817713 0.887090898422707 39 34 73
1427 -1.10940419313905 1.05014660642226 39 34 73
1428 1.07604217836409 1.2450983620347 39 34 73
1429 2.12842003329864 1.44285800155804 39 34 73
1430 2.67234758242215 1.60330507776715 38 34 72
1431 1.99243907581222 1.7050066658809 37 34 71
1432 2.12706645657568 1.75346217621794 37 34 71
1433 0.522882467408441 1.76747194557844 37 34 71
1434 2.67040332276259 1.76859287666896 40 35 75
1435 0.849488207629578 1.75938286625878 40 35 75
1436 1.249120274851 1.74985359849213 41 35 76
1437 2.00702231851305 1.73340070202409 41 35 76
1438 2.76605996924481 1.68987860481095 41 35 76
1439 2.02210585521301 1.60770980998951 42 35 77
1440 1.13598501599144 1.50093351298676 42 36 78
1441 0.481512938271996 1.39574280058104 42 36 78
1442 1.59578532884911 1.30827633029511 42 36 78
1443 1.12133369942013 1.2355125661919 42 36 78
1444 0.744795053901473 1.17505401570101 42 36 78
1445 1.98259763515432 1.12142745791989 42 36 78
1446 0.519283710790881 1.06416205869464 42 36 78
1447 0.156403232200924 1.00545768048881 42 36 78
1448 2.10995570963436 0.936393734008919 42 36 78
1449 1.61427568675821 0.833850006743887 42 36 78
1450 1.19483687668305 0.698439344178676 42 36 78
1451 -0.611689521665883 0.555359581236218 42 36 78
1452 -0.286219388514457 0.438012507486995 42 36 78
1453 -0.0413669952792698 0.354679430472134 42 36 78
1454 0.822269701065305 0.290758237346244 43 36 79
1455 1.41813020281337 0.222529891639528 43 35 78
1456 0.731543072856609 0.141285980605178 43 33 76
1457 -0.643797135547536 0.0686111182743273 41 33 74
1458 -0.769718682722814 0.0406830026250343 41 33 74
1459 -0.970869697167321 0.0779289622468304 41 33 74
1460 -0.529262541161534 0.175107963686603 42 35 77
1461 1.13272065220941 0.297682360443673 41 35 76
1462 0.847194678423164 0.395561852570511 42 35 77
1463 1.16946108330737 0.434497005679404 42 35 77
1464 1.70088094928322 0.397562654233333 42 35 77
1465 -0.273283204415968 0.291921680979577 42 36 78
1466 0.804734172350988 0.152356151261791 42 36 78
1467 -1.88481088342327 0.0120826087074566 42 36 78
1468 -0.066506223112544 -0.0949260549969942 42 36 78
1469 0.82071675057826 -0.170134132541836 42 36 78
1470 -1.61795976459888 -0.219071362380913 42 34 76
1471 -0.131379079013417 -0.2339636907511 42 35 77
1472 -0.74313920840695 -0.230136464683925 42 35 77
1473 0.684626808265217 -0.230619175511421 41 35 76
1474 0.534908452446128 -0.263747471905842 40 35 75
1475 0.89707810573937 -0.337607655405775 40 35 75
1476 -2.59915885356908 -0.432864261815284 40 35 75
1477 0.0540754007275376 -0.511859257605743 40 35 75
1478 0.0142476645446423 -0.572155181275434 39 35 74
1479 -1.89073033216156 -0.607805899863078 39 35 74
1480 -0.450829345625088 -0.604509172827879 39 35 74
1481 -0.70801236331084 -0.570495192974703 39 35 74
1482 -0.239825732989189 -0.518128141094271 39 35 74
1483 0.486566818083472 -0.460378074161876 39 34 73
1484 -1.1410152321994 -0.400350409952833 40 34 74
1485 -0.841214374303039 -0.324088565263414 40 34 74
